payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
mdcd,ED,vol_per_bene_mean,main,c2014,-67.3137561604601,79.1397888706793,0,0.18633
mdcd,ED,vol_per_bene_mean,sens,all_cohorts,7.54320205984934,61.8849790495655,0,0
mdcd,ED,vol_per_bene_mean,sens,c2014,44.076392642577,85.4297020412972,0,0.63679
mdcd,ED,vol_per_capita_mean,main,all_cohorts,16.6911031099407,11.6814076837914,0,0
mdcd,ED,vol_per_capita_mean,main,c2014,14.0371607119862,14.0410720671505,0,0.88233
mdcd,ED,vol_per_capita_mean,sens,all_cohorts,30.873641602485,6.99735317112297,0,0
mdcd,ED,vol_per_capita_mean,sens,c2014,32.9013608696499,8.58049321432301,0,0.95473
mdcd,IP,spend_per_bene_mean,main,all_cohorts,25.184051195423,80.9056338187918,0,0
mdcd,IP,spend_per_bene_mean,main,c2014,68.2004422554539,96.2959912800444,0,0.19021
mdcd,IP,spend_per_bene_mean,sens,all_cohorts,-29.7814164635877,51.5025330851131,0,0
mdcd,IP,spend_per_bene_mean,sens,c2014,10.6293845872323,53.9879856436265,0,0.7288
mdcd,IP,spend_per_capita_mean,main,all_cohorts,71.8303551995001,14.7934861430883,0,0
mdcd,IP,spend_per_capita_mean,main,c2014,74.0612335405694,17.8687620120444,0,0.72339
mdcd,IP,spend_per_capita_mean,sens,all_cohorts,73.1010945168358,12.5090854415931,0,0
mdcd,IP,spend_per_capita_mean,sens,c2014,76.0234453062308,14.7015424694983,0,0.94495
mdcd,IP,spend_per_vol_mean,main,all_cohorts,659.461916038566,176.363190860948,0,0
mdcd,IP,spend_per_vol_mean,main,c2014,672.622985368225,229.735261528518,0,0.19175
mdcd,IP,spend_per_vol_mean,sens,all_cohorts,414.650848145186,139.951661482223,0,0
mdcd,IP,spend_per_vol_mean,sens,c2014,385.915405932212,170.130506174773,0,0.55829
mdcd,IP,vol_per_bene_mean,main,all_cohorts,1.52152427161198,17.0321215149528,0,0
mdcd,IP,vol_per_bene_mean,main,c2014,18.0299597818034,21.8238442938833,0,0.33691
