mod,basis,sample,est,payer,toc,outcome,event_time,att,se
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-5,-0.63286142810984,5.3685959119172
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-4,1.99461298193317,3.17344859129588
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-3,-0.62949395479349,1.91201326526808
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-2,4.28421026621747,2.21592709798912
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-1,0.579349348194863,2.05156876329626
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,0,3.87007514118122,1.78239504187665
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,1,4.77325196359711,2.73658709344473
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,2,4.85505004578791,3.03735313828929
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,3,2.63896190237833,2.74349764640322
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,4,4.40415914186698,3.91250547363474
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-6,-0.281342652586851,0.150440978929386
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-5,0.292357362319966,1.2947522391953
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-4,0.193373365331757,0.471199126695082
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-3,-0.142293886075494,0.365144234106648
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-2,0.432882194561803,0.21775595037454
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-1,0.594776686849775,0.277489502408875
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,0,2.38127278353942,0.396685615065563
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,1,3.62121258412454,0.55554643261118
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,2,4.09655820305483,0.651117409037083
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,3,3.7591381185222,0.615050913090349
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,4,4.0504783152398,0.831185051400365
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-6,-0.739385759956613,0.656199033579924
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-5,3.77050391625396,3.28256114337484
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-4,1.29159358741711,2.53147238242103
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-3,1.39461577721203,0.865783487346857
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-2,1.91197482345558,1.38662818475611
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-1,0.782113569026293,1.82855174772439
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,0,5.11921171098655,4.28617165943098
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,1,5.27908103917178,2.60665081395135
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,2,6.93490401372643,2.7718500208324
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,3,4.71394343187692,3.12057874724812
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,4,2.88846587275781,5.34222221010538
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,-6,182.193756868971,33.2019716919218
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,-5,-6.3722482382837,43.4734156518771
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,-4,76.2605944661903,77.2575368733457
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,-3,10.1289505506119,56.8398858879034
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,-2,61.5923239343548,37.7562100577578
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,-1,23.8218294931434,46.7543624688351
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,0,15.5447096314164,59.6082958182043
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,1,26.3666364900677,50.2106504009575
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,2,5.57991553959831,62.9565627520843
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,3,-32.5532864731125,63.9952351645696
9,allages,all_cohorts,dr,mdcd,ED,vol_per_bene,4,3.58372922245845,91.9778197339791
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,-6,14.037038664306,5.54995320556396
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,-5,2.2599821889375,6.52221586856504
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,-4,11.7296782282103,13.2816047055968
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,-3,-5.68293101100443,8.78525473888849
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,-2,0.442327758752192,5.64067611298394
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,-1,6.20281722188003,7.28457163634697
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,0,20.9783979938386,7.55462921777546
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,1,34.9799233235875,6.60394171037019
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,2,34.4108610084898,10.1332540679916
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,3,33.2282321080533,8.8677790994088
10,allages,all_cohorts,dr,mdcd,ED,vol_per_capita,4,39.1222221195752,12.5766770137648
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,-6,145.756338198892,53.7908352882223
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,-5,-144.745035313531,283.931380279475
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,-4,134.436193020639,165.294729921301
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,-3,-3.63214781416474,115.746840631668
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,-2,66.0143895288699,63.8277218843885
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,-1,2.15757504700687,50.3207202663916
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,0,83.6459926681595,51.8908249068137
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,1,74.5208731318715,55.9241123648106
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,2,42.5321968670355,56.8239251068687
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,3,-6.49498304580595,59.389685630682
11,allages,all_cohorts,dr,mdcd,IP,spend_per_bene,4,-28.3005431583864,64.8455776378043
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,-6,9.35000295283697,6.21418652455967
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,-5,-12.7935688175879,29.3501953254832
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,-4,24.660996493651,27.6636629460884
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,-3,-4.11082708171001,14.514123338016
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,-2,4.63447295953091,8.53737340198409
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,-1,8.90751278353103,7.43926954533282
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,0,61.6851774498235,10.1274431952195
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,1,88.1795820245001,13.1592453660461
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,2,87.865064797288,13.3549218387027
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,3,84.4751997129447,14.1068012531526
12,allages,all_cohorts,dr,mdcd,IP,spend_per_capita,4,77.360313067271,15.7466465690008
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,-6,-963.700247183379,67.3495139336333
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,-5,62.9788757665623,265.465009095329
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,-4,159.714869932125,241.37552236822
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,-3,-76.1783588271027,117.2110800507
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,-2,-56.1086065170914,103.790170554153
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,-1,-79.0103290411859,98.9709948212149
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,0,147.525383774068,240.828359409167
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,1,411.667314172804,242.603690505797
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,2,511.43341968345,262.589053206467
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,3,726.608425576302,309.131832890485
13,allages,all_cohorts,dr,mdcd,IP,spend_per_vol,4,966.676851772671,383.559029317377
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,-6,74.2267268802375,8.20377321230162
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,-5,-21.0063510916502,24.2198062528659
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,-4,20.7335170271086,48.4460546160229
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,-3,11.775067212411,27.332385176794
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,-2,15.6414444623335,12.6442064310246
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,-1,4.14226526744289,11.0181467485612
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,0,0.779000543805641,22.8963066424214
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,1,-2.41390370702311,11.6043062343796
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,2,-11.3950278764084,15.1507688334096
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,3,-43.2167810291697,22.9587571203673
14,allages,all_cohorts,dr,mdcd,IP,vol_per_bene,4,-53.7607809358102,22.8707647476262
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,-6,12.7279093822494,1.59619919649386
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,-5,-2.21709934123318,3.07157345901303
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,-4,5.49687454121332,6.82147855860115
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,-3,0.843969501611274,2.99986792486433
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,-2,1.79534407702522,2.31582839976836
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,-1,2.12869867704301,1.58147610571227
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,0,7.69280741968239,2.53236731329193
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,1,10.6853603128939,2.24528625061392
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,2,9.71769790723394,2.39149388975679
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,3,5.8522314796239,3.19068648398442
15,allages,all_cohorts,dr,mdcd,IP,vol_per_capita,4,3.15225692844813,3.7991402807098
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,-6,10.27218840787,13.7529662929574
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,-5,-160.70306377471,147.596348168571
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,-4,21.4556769085736,38.048842120233
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,-3,31.7934102186477,34.3417392565734
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,-2,13.5798567627094,20.7248900012245
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,-1,-24.7109440153968,41.557479550018
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,0,-197.523839819086,65.4092009886388
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,1,-213.572924427772,44.8425551945147
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,2,-229.276345357941,63.337457841024
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,3,-272.076723190807,95.0372277645846
16,allages,all_cohorts,dr,mdcd,NF,spend_per_bene,4,-227.117834053144,101.39364304305
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,-6,-7.2939862603967,1.9951945761244
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,-5,-22.5452218240749,23.9706146631605
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,-4,3.03495607013454,5.0040320612988
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,-3,8.10983730940194,5.34243240463391
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,-2,-3.05236390016011,4.05580777666047
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,-1,-0.500812118700375,4.30158995866443
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,0,-5.73110587167349,4.71792411660516
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,1,-1.02283815093517,5.1596819037729
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,2,2.35354258336583,6.60159939692327
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,3,-1.29396107696419,8.63451737324948
17,allages,all_cohorts,dr,mdcd,NF,spend_per_capita,4,3.19008273960592,10.1713621804649
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,-6,-79.05908271073,43.1215733221284
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,-5,662.785936283601,819.319494792945
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,-4,-283.055432020758,224.288802513065
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,-3,-64.1893686311884,167.404924972499
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,-2,71.8565645150104,96.0381597127902
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,-1,-30.6693875665375,107.988209757904
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,0,196.758619525329,102.757651692301
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,1,-5.78991397365668,138.286875640584
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,2,-71.5953726152094,118.010040799414
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,3,40.2050612751848,149.760422823222
18,allages,all_cohorts,dr,mdcd,NF,spend_per_vol,4,117.296671115588,184.205881922895
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,-6,1.29359641591784,0.977888621715546
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,-5,-4.6332339972816,6.42615278768642
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,-4,2.79022921590418,2.86298288219302
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,-3,0.823372523024144,2.23822726367445
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,-2,0.454161401374494,1.87430073713932
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,-1,-1.55241198617433,4.62660841995791
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,0,-14.7317402376918,6.11002107637499
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,1,-14.6671043286486,2.91536714644015
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,2,-15.3534473515855,4.5357571287886
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,3,-18.9147323481075,7.19594128833336
19,allages,all_cohorts,dr,mdcd,NF,vol_per_bene,4,-15.1174388226476,7.1098402079813
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,-6,-0.513394668504349,0.149132150320816
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,-5,-0.731972738541559,0.778959368624153
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,-4,0.403717926704431,0.311227371773074
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,-3,0.343281375755715,0.329444298433735
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,-2,-0.215089188548726,0.31692525777135
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,-1,-0.103303063123435,0.543820716293892
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,0,-0.534201344559486,0.460882475497795
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,1,0.0135872021234017,0.317308314452292
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,2,0.307282433991487,0.584638224133435
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,3,0.0800808473799325,0.663710455997934
20,allages,all_cohorts,dr,mdcd,NF,vol_per_capita,4,0.399104208113922,0.830027523978101
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,-6,28.5204537872737,9.82509745062285
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,-5,-23.3780477674448,58.6811740514369
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,-4,10.2617439203388,65.2912202278548
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,-3,-8.21143939068369,20.2680729905076
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,-2,-22.317650540994,14.8726307857617
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,-1,-18.6775485650442,26.5999712059969
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,0,20.6982176190781,25.7012052092051
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,1,-4.47330116337677,40.1216140655218
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,2,1.54920863150426,47.0963132970568
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,3,-38.4561838544019,60.5862352615806
21,allages,all_cohorts,dr,mdcd,RX,spend_per_bene,4,-18.7523773548138,75.6939291351358
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,-6,1.64803222561125,1.90459819257574
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,-5,0.582373280313018,11.3298888717064
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,-4,-1.00163418859223,14.2155789062542
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,-3,-0.923032515020389,3.15495647732475
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,-2,-5.38425119965421,2.56848009024257
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,-1,-0.0815095282484842,3.53616381209776
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,0,18.3213775663432,3.86491480347171
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,1,23.4799915401374,6.05609330275777
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,2,27.0118726943667,7.44952093586222
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,3,21.3451539121367,9.54697378601575
22,allages,all_cohorts,dr,mdcd,RX,spend_per_capita,4,26.1501783106548,12.0131769830199
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,-6,-0.874275907435887,0.224442456176141
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,-5,-0.4676019137486,0.567369825180998
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,-4,-0.107140913272089,0.543475113535342
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,-3,0.338366305374848,0.450252801288255
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,-2,0.22350511483087,0.761088432393133
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,-1,0.326408177235465,1.14551659521648
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,0,3.27103590714361,2.72951660855818
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,1,3.85233096804695,1.41795336465584
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,2,4.44429576436172,1.93399261169987
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,3,4.88356690765411,2.40483462386733
23,allages,all_cohorts,dr,mdcd,RX,spend_per_vol,4,5.02864388174658,2.50563084060309
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,-6,432.957282412464,122.273250880916
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,-5,-212.911313692431,670.960955612326
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,-4,138.496986930691,853.266734589794
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,-3,-132.338442720513,258.001143027633
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,-2,-348.620262077016,208.527998656564
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,-1,-311.241439190339,433.046405172186
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,0,-74.664042919814,453.418011386481
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,1,-565.758166559378,679.051521048347
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,2,-532.364232747454,732.826145516819
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,3,-1092.66634536061,867.198970738153
24,allages,all_cohorts,dr,mdcd,RX,vol_per_bene,4,-841.544956264126,1160.77909979637
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,-6,34.5404778371421,25.0264217635603
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,-5,15.3334384420651,135.429373928889
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,-4,-9.54838691418884,188.6750758659
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,-3,-17.1652676357641,40.5169938909456
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,-2,-81.5391227710797,29.9649896433856
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,-1,-15.8998900070728,55.759869917564
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,0,181.0257197801,61.2003469631235
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,1,213.493831535971,86.555681508953
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,2,254.497898844556,109.217086854316
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,3,179.306509751305,136.154573588529
25,allages,all_cohorts,dr,mdcd,RX,vol_per_capita,4,216.922088549876,174.153895584004
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,-6,296.462078855075,119.113208990468
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,-5,-460.825851516817,441.942814076152
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,-4,251.778678005617,636.036766942211
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,-3,40.0828703838047,220.83903307808
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,-2,188.987129831724,152.682761599492
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,-1,-13.1531373149933,136.939576244705
26,allages,all_cohorts,dr,mdcd,Total,spend_per_bene,0,40.7605206843019,188.643138557104
