outcome,payer,toc,att,se,pre_p,base,pct,pct_se,t,p
spend_per_capita,mdcd,AM,93.8953358600575,25.5285236641804,0.76801,397.665806291355,23.6116191974685,6.41959234621159,3.67805585216053,0.00023501850386218
spend_per_capita,mdcd,ED,2.29225025743536,0.880783050730107,0.53483,10.5613452478753,21.7041504054279,8.33968618635305,2.60251404194852,0.00925430253432861
spend_per_capita,mdcd,IP,78.8337102245155,16.5213199738816,0.60162,350.3196,22.5033684168729,4.71607068913118,4.77163509629636,1.82736348176845e-06
spend_per_capita,mdcd,NF,4.21007488659173,13.8076417893666,0.23128,205.714354436215,2.04656349729699,6.71204584979406,0.304909046078668,0.760435425861101
spend_per_capita,mdcd,RX,9.6577300925389,10.78384344242,0.46513,87.1005972456889,11.0880182202389,12.380906427084,0.895574026468949,0.370480312929195
spend_per_capita,mdcd,Total,188.889101321139,42.0425857192398,0.41926,1051.36170322113,17.9661386507066,3.99886980764382,4.49280409588839,7.02914412681905e-06
spend_per_capita,mdcr,AM,-4.96790929799749,6.37877538435649,0.22616,570.911264847885,-0.870171882021131,1.11729716632165,-0.778818660111617,0.436086544012881
spend_per_capita,mdcr,ED,1.26827643577914,2.12091490874136,0.93643,43.8551051313319,2.89196989034928,4.83618703544297,0.597985534710485,0.549849585059905
spend_per_capita,mdcr,IP,3.50173871415152,8.42574831447339,0.26134,640.372127621722,0.546828720849645,1.31575812735101,0.415599728766688,0.677702925191336
spend_per_capita,mdcr,NF,4.34206332816691,8.02009573796896,0.11981,142.687751663618,3.0430525938927,5.62073173377633,0.541397942123134,0.588233325318879
spend_per_capita,mdcr,RX,1.88735106552113,6.98881031727939,0.59409,228.088211704246,0.827465414112849,3.06408220971172,0.270053267986795,0.787119273487512
spend_per_capita,mdcr,Total,6.03152024562136,20.8851006242171,0.79387,1625.9144609688,0.370961719722172,1.28451410732719,0.288795364415318,0.772737979699603
spend_per_capita,oop,AM,-15.7398421070734,30.605320729254,0.00022,288.991075805193,-5.44648033272957,10.5904034039739,-0.514284501257606,0.60705309603582
spend_per_capita,oop,ED,-0.894311173608493,1.50514132498466,0.00013,11.4612433244533,-7.8029158642887,13.1324436832551,-0.594170898614859,0.552397814825925
spend_per_capita,oop,IP,-5.00407195016476,7.68776637626841,0.00378,56.8850102497402,-8.79681998508142,13.5145732461277,-0.650913634109899,0.515102239766415
spend_per_capita,oop,NF,2.17238672994528,7.14060108454208,0.00709,165.785109628104,1.31036299630194,4.3071426019865,0.304230232752821,0.760952493379219
spend_per_capita,oop,RX,-13.8324831754956,21.3780448197997,0.03347,163.885145516957,-8.44035201107617,13.0445286864561,-0.647041546226171,0.517605055010374
spend_per_capita,oop,Total,-33.2983216763969,54.3525420578635,6e-05,687.007584524447,-4.84686376489516,7.91149083099087,-0.612635958055976,0.54011707666063
spend_per_capita,priv,AM,29.4900906470597,34.9655447224154,0.09552,1422.29363552775,2.07341788716627,2.45839142136365,0.843404296463156,0.399002369847752
spend_per_capita,priv,ED,-0.154498684394795,1.32262937901925,0.13347,73.5973232888606,-0.209924325356788,1.79711614487404,-0.116811774217021,0.907009213155653
spend_per_capita,priv,IP,7.55886297210738,21.3609799654803,0.26507,651.778832640651,1.15972820741708,3.27733563836943,0.353863117905762,0.723441468551602
spend_per_capita,priv,NF,3.74632921948745,5.57161623311207,0.26971,82.1594812996588,4.55982579274513,6.78146471347697,0.672395416831304,0.501331999758223
spend_per_capita,priv,RX,3.31257453332826,21.4810893961061,0.02379,432.540670054237,0.765841171169612,4.96625887073522,0.154208870520725,0.87744504819043
spend_per_capita,priv,Total,43.9533586875883,66.3375665003456,0.07199,2662.36994281116,1.65091101656514,2.49167350613569,0.662571164520474,0.507605243098709
vol_per_capita,mdcd,AM,297.476078505457,160.069015345115,0.57033,1914.57159508408,15.5374747682075,8.36056566158788,1.85842386713061,0.063108845570494
vol_per_capita,mdcd,ED,15.9251459385805,12.267196585032,0.68662,207.076727360866,7.69045664452107,5.92398611923898,1.29818951120517,0.194222221477329
vol_per_capita,mdcd,IP,10.5740443204745,2.83213138477808,0.33241,49.8172,21.2256897627216,5.68504730249407,3.73359949941133,0.000188762573081949
vol_per_capita,mdcd,NF,0.616427124779254,1.00745288137278,0.25276,13.6823834327507,4.50526129317315,7.36313878590264,0.611866952962894,0.540625787775955
vol_per_capita,mdcd,RX,4.33826353408574,152.48289504375,0.29797,1065.68560062408,0.407086624004791,14.3084315819276,0.0284508208795551,0.97730259138591
vol_per_capita,mdcd,Total,328.929959423377,193.355113495004,0.07043,3250.83350650177,10.1183268464997,5.94786269762163,1.70117021204032,0.0889110296404462
vol_per_capita,mdcr,AM,-5.13199025079003,29.4901435157689,0.58883,2293.60508766236,-0.223752130582364,1.28575506195032,-0.174023915754966,0.861846666946119
vol_per_capita,mdcr,ED,0.275364927378717,2.62367031201126,0.69755,82.9872893746275,0.331815787036548,3.16153272601457,0.104954088979125,0.916412239126451
vol_per_capita,mdcr,IP,0.0308750268673413,0.473954410505319,0.08187,42.920107428977,0.0719360428406021,1.10427125861603,0.0651434530051596,0.948059783390423
vol_per_capita,mdcr,NF,0.201231568341725,0.652837472966104,0.07152,13.763561591046,1.46206028876012,4.74323065761417,0.308241448560617,0.757898615453414
vol_per_capita,mdcr,RX,-25.1862553997518,94.6412422156474,0.0187,3731.53548797464,-0.674956877160029,2.5362546469313,-0.266123465944826,0.790144123227419
vol_per_capita,mdcr,Total,-29.8107741279543,105.983117275068,0.011,6164.81153403164,-0.483563430339918,1.71916232459028,-0.281278517696206,0.778496785841628
vol_per_capita,oop,AM,-302.337973553029,327.371814441442,3e-05,3957.70570466699,-7.63922322967338,8.27175739862112,-0.923530860678629,0.355730625611346
vol_per_capita,oop,ED,-5.77324992699608,16.6400488170089,0.03694,259.249856607114,-2.22690573586133,6.41853732718798,-0.346949097955462,0.728629560070794
vol_per_capita,oop,IP,-11.9843981269709,8.28669509556614,0.30273,68.964993923928,-17.3775091464378,12.0157990656924,-1.44622168292197,0.148115033936736
vol_per_capita,oop,NF,8.10815898859739,8.80571567269715,0.24323,195.236648943158,4.15299024670211,4.51027802431749,0.920783646664565,0.357163394578172
vol_per_capita,oop,RX,-730.520460463196,1577.11517260054,0.08022,11917.6703484798,-6.12972534985731,13.2334183316432,-0.463200451783508,0.643220692438694
vol_per_capita,oop,Total,-1042.50792308159,1885.86271214341,0.00443,16398.827552621,-6.35721010990794,11.4999850208315,-0.552801599166627,0.580399273354099
vol_per_capita,priv,AM,62.6055489195256,145.699160114814,0.00675,4787.83826689156,1.30759531608346,3.04310947849554,0.429690527180741,0.667420775113269
vol_per_capita,priv,ED,0.361613421269758,2.0926889229366,0.0917,63.1088877133383,0.572999199276539,3.31599715786831,0.172798459105101,0.862809848280507
vol_per_capita,priv,IP,0.244438623476074,1.16472261757093,0.20592,35.7297758308752,0.684131422019297,3.25980947399189,0.209868529887277,0.833770284738569
vol_per_capita,priv,NF,0.584991728117748,1.2543848355166,0.04369,21.787621875113,2.68497283214721,5.75732791172322,0.466357461884358,0.640959654457622
vol_per_capita,priv,RX,-37.3352136947874,176.076910519316,0.03113,4731.97934897341,-0.788997815531193,3.72099913237185,-0.212039236630584,0.832076423817397
vol_per_capita,priv,Total,26.4613789975998,235.232725966669,0.00797,9640.4439012843,0.274482993403184,2.44006114630605,0.112490211082914,0.910434730904278
spend_per_bene,mdcd,AM,0.726418745089449,126.841920037459,0.6032,2089.2501,0.0347693531324684,6.07116974829673,0.0057269611251148,0.995430571116052
spend_per_bene,mdcd,ED,-1.12246274823852,4.1731598562629,0.50632,55.0232,-2.03998085941661,7.58436415232648,-0.268971903042242,0.787951304275552
spend_per_bene,mdcd,IP,83.0036212536885,95.1926703488695,0.34958,1879.4436,4.41639330138391,5.06493891856449,0.871953911467032,0.383233521088772
spend_per_bene,mdcd,NF,-163.931223164594,107.825302057919,0.18139,1141.0221,-14.3670506613845,9.44988725967003,-1.52034095927259,0.128425304794954
spend_per_bene,mdcd,RX,-103.43212715383,81.4269286899075,0.3164,459.382,-22.5154941103113,17.7253198187799,-1.27024473129429,0.2039974685304
spend_per_bene,mdcd,Total,-186.500628361404,238.959084209868,0.32483,5649.3949916543,-3.30124957870562,4.22981725588096,-0.780470970493042,0.435113708124488
spend_per_bene,mdcr,AM,36.1504446958906,35.8361380022045,0.38269,3879.9259,0.931730286289503,0.92362944359851,1.00877066311294,0.3130846336934
spend_per_bene,mdcr,ED,11.1863745504697,8.73315564708681,0.92246,294.3945,3.79979060426391,2.96648057184723,1.28090864316626,0.200225756586336
spend_per_bene,mdcr,IP,32.8898434851652,43.6865023283203,0.44832,4251.9864,0.773517137429348,1.02743748964767,0.752860534312996,0.451533725941518
spend_per_bene,mdcr,NF,38.5227123444728,45.8679493501886,0.23593,950.0436,4.05483625640684,4.82798361571917,0.839861229687052,0.400986197852407
spend_per_bene,mdcr,RX,72.2992332907521,30.9702886849164,0.58624,2280.5433,3.17026356354436,1.35802239251131,2.33447075764471,0.0195710855282088
spend_per_bene,mdcr,Total,157.727263311744,94.8026624893384,0.85527,10785.5789542323,1.46239032675989,0.878976111450535,1.66374297060995,0.0961638050729066
spend_per_bene,priv,AM,119.407322690847,69.7860047558145,0.31115,2247.502,5.31289060881134,3.10504750410965,1.71104970271132,0.0870719379856491
spend_per_bene,priv,ED,3.71965548626744,2.56125159310441,0.15414,117.4695,3.16648618259841,2.18035455424975,1.45228039927111,0.146423655238179
spend_per_bene,priv,IP,40.8263143271086,38.2749946093558,0.26533,1032.7733,3.95307608427799,3.70604029067713,1.06665761141947,0.286126474898244
spend_per_bene,priv,NF,9.43250014122635,9.27091255593059,0.47312,128.4412,7.34382747998801,7.21802081881094,1.01742952318026,0.308949143320092
spend_per_bene,priv,RX,29.7015491768933,31.2869322903995,0.07291,713.8661,4.16066110673883,4.38274520815592,0.949327626665634,0.342454006797985
spend_per_bene,priv,Total,201.50599635095,126.309395887055,0.28014,4213.50736588899,4.78238149011602,2.99772576427916,1.59533655383116,0.110636995571038
vol_per_bene,mdcd,AM,-442.434650631285,910.380086824905,0.49507,10071.742726187,-4.3928311381598,9.03895295555832,-0.485988936966258,0.62697500973541
vol_per_bene,mdcd,ED,-61.5225726147274,70.5745181998105,0.23748,1110.05837093806,-5.54228266057193,6.35773037233808,-0.871739179862976,0.38335068095057
vol_per_bene,mdcd,IP,9.37281951223778,17.7154903463896,0.27315,275.018411399437,3.40806983232285,6.44156522330411,0.529074800018051,0.596753561938252
