payer,toc,outcome,att,se,pval
mdcd,AM,spend_per_bene_mean,157.696366530362,65.7365957927745,0.0202141033016575
mdcd,AM,spend_per_capita_mean,131.610840401069,16.0963368023413,8.88446536107567e-11
mdcd,AM,vol_per_bene_mean,677.42342807309,454.629655864675,0.142491302894557
mdcd,AM,vol_per_capita_mean,539.843863341337,98.703912184282,1.4433911258913e-06
mdcd,ED,spend_per_bene_mean,3.65743235712013,2.2989375518893,0.117930478478687
mdcd,ED,spend_per_capita_mean,3.45968574579838,0.522828372634854,2.38324621098365e-08
mdcd,ED,vol_per_bene_mean,21.4131467891856,55.4768302811505,0.701146346752264
mdcd,ED,vol_per_capita_mean,35.674411474789,8.04387296634443,5.05811758394486e-05
mdcd,IP,spend_per_bene_mean,50.2491333403906,51.5810951864031,0.334658160944512
mdcd,IP,spend_per_capita_mean,81.1557907826293,13.6473127224582,2.64896270274157e-07
mdcd,IP,vol_per_bene_mean,-6.05836188353406,13.584859073203,0.657548325396209
mdcd,IP,vol_per_capita_mean,9.25244509181282,1.96628183410015,2.03736534003772e-05
mdcd,NF,spend_per_bene_mean,-132.653322322952,44.9798874968399,0.00483516567374579
mdcd,NF,spend_per_capita_mean,1.13147379527245,4.41866188475364,0.7989496565632
mdcd,NF,vol_per_bene_mean,-8.61906425359883,3.37991160539448,0.0138805105844792
mdcd,NF,vol_per_capita_mean,0.128636937808237,0.323054864741678,0.69218598745334
mdcd,RX,spend_per_bene_mean,-15.1159966853054,28.5723724620449,0.599116978562661
mdcd,RX,spend_per_capita_mean,16.6901009991942,5.37365633880669,0.00312276964039773
mdcd,RX,vol_per_bene_mean,-363.125820094448,400.073183830167,0.368417905226278
mdcd,RX,vol_per_capita_mean,169.825750935768,70.6202712027978,0.0199267240183131
mdcr,AM,spend_per_bene_mean,-30.7290601761772,20.6286523365333,0.142602892053839
mdcr,AM,spend_per_capita_mean,-45.0207387470371,16.7912215094364,0.00991147869860072
mdcr,AM,vol_per_bene_mean,-119.792173303362,94.9251676975596,0.212816766506324
mdcr,AM,vol_per_capita_mean,-172.968055394999,67.3860540209236,0.0133037192264459
mdcr,ED,spend_per_bene_mean,0.593710069748412,3.43573975362573,0.863503003842646
mdcr,ED,spend_per_capita_mean,-0.898521081937534,2.29502307004867,0.697084981274706
mdcr,ED,vol_per_bene_mean,-3.7784551445415,4.54792670071369,0.410031741809995
mdcr,ED,vol_per_capita_mean,-4.52656552186994,2.91225448911264,0.126416445037976
mdcr,IP,spend_per_bene_mean,-24.6239944904296,29.3837201189217,0.406010579660487
mdcr,IP,spend_per_capita_mean,-31.7614664060936,27.0985331931369,0.246722204400131
mdcr,IP,vol_per_bene_mean,-0.993920835647182,1.89913363485408,0.603039220817788
mdcr,IP,vol_per_capita_mean,-1.68549324919878,1.76088537632272,0.343079338003556
mdcr,NF,spend_per_bene_mean,-22.7135397813173,18.0947344677342,0.215220610215977
mdcr,NF,spend_per_capita_mean,-21.9452968597374,15.8592136268233,0.172579485325548
mdcr,NF,vol_per_bene_mean,-2.19231986640543,1.57904892015867,0.171176211657543
mdcr,NF,vol_per_capita_mean,-2.07984131273754,1.38735774544449,0.14012560047523
mdcr,RX,spend_per_bene_mean,17.1207711381285,17.9975756082525,0.346037194890971
mdcr,RX,spend_per_capita_mean,7.86772826378238,13.439481830574,0.560899053993007
mdcr,RX,vol_per_bene_mean,263.991608021546,265.342927508067,0.324571999720403
mdcr,RX,vol_per_capita_mean,21.9255500683975,173.526941080362,0.899959692107024
oop,AM,spend_per_capita_mean,-28.8476393237138,8.16094076722113,0.000889570254049417
oop,AM,vol_per_capita_mean,-165.716960826451,98.8889899150386,0.100023102611609
oop,ED,spend_per_capita_mean,-1.55776942605649,0.413792699219403,0.000439597482641307
oop,ED,vol_per_capita_mean,5.67185107803008,7.96935652054959,0.479953485979398
oop,IP,spend_per_capita_mean,-7.7195198020439,2.28116792776568,0.00139641877454956
oop,IP,vol_per_capita_mean,-4.58536614897635,2.67334133402682,0.0924970404895189
oop,NF,spend_per_capita_mean,12.1487971272682,5.15959319496285,0.022510154479616
oop,NF,vol_per_capita_mean,21.3673225666726,6.07327372647603,0.000935241529283018
oop,RX,spend_per_capita_mean,-12.4877237833787,7.74188549510004,0.113037413438326
oop,RX,vol_per_capita_mean,-286.270078800007,670.229652806966,0.671123931287753
priv,AM,spend_per_bene_mean,29.5442938544805,30.2988312834588,0.334206417915238
priv,AM,spend_per_capita_mean,-20.5152346437026,21.8088897095614,0.351390403379595
priv,AM,vol_per_bene_mean,97.2665555048938,102.666602207726,0.347990439420603
priv,AM,vol_per_capita_mean,-41.2653509590315,72.1134301317413,0.569731333099356
priv,ED,spend_per_bene_mean,0.402131707561439,1.68137484726805,0.811952682283163
priv,ED,spend_per_capita_mean,-1.88413675423437,1.20213338776868,0.123345813832813
priv,ED,vol_per_bene_mean,2.21769828761026,1.79220356717114,0.221713139651183
priv,ED,vol_per_capita_mean,-0.316987256755254,1.23226485243257,0.7980495482761
priv,IP,spend_per_bene_mean,-7.24482348877051,15.4942820674686,0.64211622083178
priv,IP,spend_per_capita_mean,-21.6010498640258,10.9087482528313,0.0532022398862935
priv,IP,vol_per_bene_mean,-0.477184732761595,0.918282381224904,0.605601092989917
priv,IP,vol_per_capita_mean,-1.04727798281716,0.616797301718571,0.095737444904553
priv,NF,spend_per_bene_mean,8.43582152538842,2.97005105434775,0.00650253730267081
priv,NF,spend_per_capita_mean,4.43599453566494,1.72208734469774,0.0129987668902805
priv,NF,vol_per_bene_mean,2.40757186525065,0.780027386450191,0.00329849212675895
priv,NF,vol_per_capita_mean,1.2490425769133,0.457818557371435,0.00876269275711507
priv,RX,spend_per_bene_mean,22.041521240578,22.2817680321816,0.327319713019158
priv,RX,spend_per_capita_mean,0.98434740242596,14.6157422482045,0.946572913605234
priv,RX,vol_per_bene_mean,310.806456605902,238.046747935722,0.197646369235184
priv,RX,vol_per_capita_mean,72.0069939060861,149.307874584597,0.631717387258104
