location_name,year_id,poverty_rate,median_hh_income,uninsured_rate,prop_under18,prop_over65
Alabama,2010,17.110551692512,42081,,0.24026879987506,0.134789739363259
Alabama,2011,17.5622787941181,42934,,0.238488283330075,0.136354789460558
Alabama,2012,18.9625700396305,41574,13.3390823287354,0.233299384926202,0.145241737751977
Alabama,2013,18.7309442855916,42849,13.5727295036928,0.229614156544377,0.149271720632672
Alabama,2014,19.2525767580622,42830,12.1485729172588,0.228606684941179,0.153939774119438
Alabama,2015,18.4956589834372,44765,10.1289251150893,0.228115412723537,0.156791581111999
Alabama,2016,17.0886896901691,46257,9.09504155646521,0.226084551641889,0.161197540764501
Alabama,2017,16.8889188142811,48123,9.36528374185774,0.224434416801528,0.164770807592681
Alabama,2018,16.8020759775542,49861,10.0051890877808,0.222817868965854,0.169739135914184
Alabama,2019,15.4570519866625,51734,9.72316513751956,0.221406493942203,0.174236134267828
Alaska,2010,9.52058458715977,66521,,0.26786739951012,0.0725619186647936
Alaska,2011,9.51069809292325,69014,,0.26558613278379,0.0751830661492815
Alaska,2012,10.1172709080949,67712,20.4935213683412,0.256019216650785,0.0849259483573018
Alaska,2013,9.32904021526841,72237,18.5309049656861,0.256234254528438,0.089213909882851
Alaska,2014,11.2337210873833,71583,17.2071602339148,0.253510095937193,0.0948771059218277
Alaska,2015,10.3406796944913,73355,14.8602825481501,0.252414575749697,0.0961605130871902
Alaska,2016,9.8852435466761,76440,14.0068678584503,0.252456550396687,0.102214062925431
Alaska,2017,11.1054975071897,73181,13.6552644733572,0.250313938320751,0.112248663481099
Alaska,2018,10.906281168978,74346,12.6400881866618,0.248780236440216,0.119332065882149
Alaska,2019,10.0792321972749,75463,12.2117341010978,0.245711473661907,0.123831069858997
Arizona,2010,15.271138719121,50448,,0.258291744146138,0.133384431364714
Arizona,2011,16.1940331020995,50752,,0.25613830841265,0.135933611608469
Arizona,2012,18.6604445709471,47826,17.5515165773954,0.247142069093908,0.148183765167081
Arizona,2013,18.6262841407641,48510,17.1468677822238,0.243859014786413,0.153731975739079
